장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.00,00:00.40,아니 등심 100g에,"정가 148,000원 박스와 할인 상품을 동시에 진열",가격 상황 훅,두 가격을 한 화면에 배치해 갈등을 즉시 만든다.
2,00:01.00 ~ 00:03.00,00:01.80,"4,980원 전 물량 완판 났다면서",검은 장갑이 포장 등심을 들어 올림,성과 근거,완판을 다음 할인 요구의 명분으로 사용한다.
3,00:03.00 ~ 00:04.00,00:03.40,할인 더 안해주고 뭐해요?!,상품을 들고 손짓하며 따지는 시점숏,갈등 발생,광고주가 아닌 소비자가 가격을 깎는 구도로 거부감을 낮춘다.
4,00:04.00 ~ 00:05.00,00:04.40,"(하, 또 시작이네....)",판매자 역할 여성이 머리를 감싸 쥠,코믹 반응,반복되는 흥정이라는 설정으로 캐릭터를 만든다.
5,00:05.00 ~ 00:07.00,00:05.80,국내산 최고급 1등 등심이에요!!!,정가 표지와 고기 상자 앞에서 판매자가 항변,품질 반박,가격 인하 전에 높은 품질을 먼저 고정한다.
6,00:07.00 ~ 00:08.00,00:07.40,요기서 뭘 더 깎아요...;;,판매자가 손가락으로 설명,판매자 저항,혜택이 쉽게 나온 것이 아니라는 느낌을 만든다.
7,00:08.00 ~ 00:10.00,00:08.80,에이~~ 마진 남으면서 뻥치시네!,구매자 시점 손가락과 판매자의 답답한 표정,의심 대변,소비자의 실제 불신을 대사로 대신 말한다.
8,00:10.00 ~ 00:11.00,00:10.40,25년 도매 회사가,도축장 관계자가 원육을 들고 있음,회사 경력,상황극 중간에 실제 근거 장면을 삽입한다.
9,00:11.00 ~ 00:12.00,00:11.40,중간 유통마진 싹 다 빼고,대규모 도축·가공 현장,가격 근거,저가의 이유를 유통 구조로 설명한다.
10,00:12.00 ~ 00:13.00,00:12.40,양심 다~~~~ 걸고 파는,트레이에 가득 담긴 생등심,신뢰 강조,늘인 말투로 진정성과 코미디를 동시에 만든다.
11,00:13.00 ~ 00:15.00,00:13.50,진.짜,구운 고기 단면을 누르고 빠른 전환 효과,강조·전환,한 단어와 속도감 있는 화면으로 다음 논쟁을 리셋한다.
12,00:15.00 ~ 00:16.00,00:15.40,에이 솔직히 그렇게 싸면,정가 상자와 포장육을 앞에 둔 판매자,저가 불안,싼 가격에서 생기는 품질 의심을 노출한다.
13,00:16.00 ~ 00:17.00,00:16.40,양심 찔리거나 창피하거나,구매자 손이 상품을 들고 흔듦,도발,감정적인 단어로 상황극의 갈등을 키운다.
14,00:17.00 ~ 00:18.00,00:17.40,싸구려 고기 아니에요?,포장육을 카메라 가까이 들이밂,직접 반론,가장 큰 구매 장벽을 정면으로 질문한다.
15,00:18.00 ~ 00:19.00,00:18.40,무슨 소리예요???,판매자가 황당한 표정을 짓고 정가표를 보여줌,반격,과장 리액션으로 시청 유지율을 높인다.
16,00:19.00 ~ 00:20.00,00:19.40,28개월 어린 소만 잡아서,진공 포장육 여러 팩을 펼침,원육 기준,싼 이유가 품질 저하가 아님을 구체 조건으로 반박한다.
17,00:20.00 ~ 00:21.00,00:20.40,잡내 진심 1도 없고,육즙이 흐르는 스테이크 클로즈업,맛 근거,부정 요소 제거를 결과 장면에 붙인다.
18,00:21.00 ~ 00:23.00,00:21.80,입에서 사르르~~~ 녹거든요?,젓가락으로 부드러운 고기를 들어 올림,식감 소구,늘인 자막으로 녹는 감각을 표현한다.
19,00:23.00 ~ 00:25.00,00:23.80,그러니까 950만 세트나 팔리죠!!,판매자가 팔짱을 끼고 자신 있게 설명,사회적 증거,큰 판매량 숫자로 품질 논쟁을 끝낸다.
20,00:25.00 ~ 00:26.00,00:25.40,오~~ 진짜요?,흑백 효과로 구매자가 태도를 바꿈,태도 반전,짧은 리액션으로 정보가 먹혔음을 보여준다.
21,00:26.00 ~ 00:27.00,00:26.40,그럼 속는 셈 치고 사볼 테니까,구매자 손이 포장육을 다시 들어 올림,구매 전환,소비자의 마지막 방어적 태도를 현실적으로 표현한다.
22,00:27.00 ~ 00:28.00,00:27.50,휴가철 특가 팍팍 좀 여세요!,콘페티 효과와 포장 등심,추가 혜택 요구,시즌 명분으로 가격 인하를 한 번 더 밀어붙인다.
23,00:28.00 ~ 00:30.00,00:28.60,하... 미치겠네 진짜!!!!@@!@#,판매자가 머리를 감싸고 화면이 흔들림,코믹 절정,혜택을 어렵게 얻었다는 서사를 만든다.
24,00:30.00 ~ 00:31.00,00:30.40,그럼 딱,판매자가 큰 트레이를 들고 손가락을 세움,조건 예고,짧은 정지 문장으로 최종가 공개를 지연한다.
25,00:31.00 ~ 00:32.00,00:31.40,준비된 물량 소진될 때까지만,포장육이 가득 쌓인 장면,수량 제한,혜택에 종료 조건을 붙여 긴급성을 만든다.
26,00:32.00 ~ 00:34.00,00:32.80,"이 가격으로 엽니다...?! / 1kg 49,800원","가격표가 148,000원에서 49,800원으로 바뀜",최종 가격 반전,정가 앵커 대비 큰 폭의 가격 변화를 한 장면에 보여준다.
27,00:34.00 ~ 00:35.00,00:34.40,2팩 이상 사면 시원하게,팬에서 육즙이 흐르는 스테이크,조건부 혜택,장바구니 수량을 자연스럽게 올린다.
28,00:35.00 ~ 00:37.00,00:35.80,무료배송까지 얹어 줘야지!!,같은 스테이크 장면을 유지,추가 혜택,가격 외 혜택을 마지막 갈등으로 사용한다.
29,00:37.00 ~ 00:39.00,00:37.80,배송비까지 빼면 남는 게 1도 없다구요 ㅠ^ㅠ,판매자가 가슴을 치며 하소연,판매자 저항,혜택의 크기를 역으로 증명한다.
30,00:39.00 ~ 00:41.00,00:39.80,"하... 진짜, 알겠어요...",판매자가 체념하며 고개를 끄덕임,합의,상황극 갈등을 해소한다.
31,00:41.00 ~ 00:42.00,00:41.40,무배까지 쏠테니,판매자가 가격표를 가리킴,혜택 확정,무료배송을 명시적으로 확정한다.
32,00:42.00 ~ 00:43.12,00:42.50,지금 당장 사세요!!!,판매자가 상품을 가리키며 강하게 마무리,강한 CTA,캐릭터의 감정이 폭발하는 명령형 CTA로 끝낸다.
