장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.50,00:00.75,악취로 가득한 중세 유럽,화려한 드레스의 귀족 여성이 불쾌한 표정으로 코를 막음,시대·문제 훅,낯선 시대 배경과 강한 악취 문제를 첫 장면에 결합해 즉시 궁금증을 만든다.
2,00:01.50 ~ 00:03.50,00:02.50,일반 귀족들은 체취를 가리기 위해,오염된 중세 거리에서 남성 귀족이 코를 막고 걸어감,문제 설명,현대의 체취 고민을 중세 귀족의 생활 문제로 패러디한다.
3,00:03.50 ~ 00:05.00,00:04.25,향수를 들이부었지만,남성 귀족이 향수병을 목과 옷에 과하게 뿌림,잘못된 해결,문제를 숨기기만 하는 행동을 과장해 진짜 해결책을 기다리게 한다.
4,00:05.00 ~ 00:07.00,00:06.00,퀴퀴한 냄새를 없앨 순 없었습니다,다른 귀족이 손수건으로 코를 가리고 난감한 표정을 지음,실패 결론,향으로 덮는 방식의 한계를 인물 반응으로 확정한다.
5,00:07.00 ~ 00:08.00,00:07.50,하지만 왕실에서는,피부가 깨끗한 왕실 여성이 팔을 쓸어내림,반전 예고,일반 귀족과 왕실을 대비해 비밀 해결책을 예고한다.
6,00:08.00 ~ 00:10.00,00:09.00,늘 상큼한 냄새가 풍겼는데요,왕실 여성이 꽃 장식 머리와 드레스를 보여주며 미소,결과 선공개,제품을 보여주기 전 ‘상큼함’이라는 감각적 결과부터 제시한다.
7,00:10.00 ~ 00:11.50,00:10.75,바로 왕족들이 몰래 즐기던,시녀들이 둘러싼 욕조에서 왕실 여성이 레몬을 듦,비밀 공개 예고,‘몰래’라는 단어로 역사적 비밀을 엿보는 듯한 재미를 만든다.
8,00:11.50 ~ 00:13.50,00:12.50,‘레몬 목욕’ 덕분이었습니다,레몬 조각이 가득 떠 있는 욕조에서 몸을 씻는 장면,해결책 공개,상품 성분인 레몬을 중세 목욕 의식으로 극화한다.
9,00:13.50 ~ 00:14.50,00:14.00,레몬 껍질 속,흰 배경의 레몬 한 개에서 껍질 표면으로 빠르게 확대,성분 설명 전환,스토리 장면을 매크로 성분 설명으로 자연스럽게 전환한다.
10,00:14.50 ~ 00:15.50,00:15.00,천연 오일성분 리모넨이,레몬 껍질의 오일샘을 초근접 그래픽으로 표현,성분 USP,성분명을 원물의 실제 위치와 연결해 이해를 돕는다.
11,00:15.50 ~ 00:17.50,00:16.50,모공 속 찌든 유분을 싹 씻어내,피부 표면의 노란 유분이 물결과 함께 제거되는 3D 그래픽,작용 시각화,보이지 않는 세정 작용을 단순한 전후 애니메이션으로 설명한다.
12,00:17.50 ~ 00:20.00,00:18.75,묵은 피지와 악취를 제거할 수 있었는데요,왕실 여성의 팔을 시녀가 닦아주는 장면,효익 결론,성분 설명을 실제 사용 장면과 체취 해결로 다시 연결한다.
13,00:20.00 ~ 00:21.50,00:20.75,왕실의 레몬 목욕에서,욕조 속 왕실 여성이 레몬으로 팔을 문지름,브랜드 연결 예고,앞선 스토리를 제품 탄생 배경처럼 회수한다.
14,00:21.50 ~ 00:22.50,00:22.00,영감을 받아 탄생한,생산 라인에서 레몬&티트리 제품이 이동,현대 전환,중세 공간에서 현대 공장으로 점프해 브랜드 공개를 준비한다.
15,00:22.50 ~ 00:24.50,00:23.50,오리지널 소스 레몬&티트리는,노란 배경과 레몬 사이에 제품을 크게 세운 정면 팩샷,제품 공개,광고 중후반에 처음 제품을 명확히 공개해 스토리의 답처럼 느끼게 한다.
16,00:24.50 ~ 00:27.00,00:25.75,시칠리아 레몬 10개 분량의 리모넨과,제품 주변으로 다수의 레몬이 쏟아지고 물이 튀는 장면,원료 수치 USP,원물 수량과 풍성한 레몬 비주얼을 결합해 성분량을 기억시킨다.
17,00:27.00 ~ 00:28.50,00:27.75,티트리를 그대로 담았는데요,제품에서 연두색 젤이 샤워볼 위로 흐름,보조 원료 USP,제품 제형을 직접 보여주며 두 번째 핵심 원료를 연결한다.
18,00:28.50 ~ 00:30.00,00:29.25,영국 샤워젤 부동의 1위,제품 패키지와 거품 낀 어깨·샤워 장면을 분할 노출,사회적 증거,브랜드 권위를 짧은 순위 표현으로 강화한다.
19,00:30.00 ~ 00:31.50,00:30.75,중세 왕실의 상쾌함을,창가에 선 왕실 여성이 향을 즐기듯 눈을 감음,감성 회수,제품 효익을 초반 왕실 세계관으로 다시 연결한다.
20,00:31.50 ~ 00:34.24,00:32.87,매일 아침 당신의 샤워실에서 경험해보세요,레몬이 떠 있는 왕실 욕조 옆에 제품을 크게 배치,세계관형 CTA,구매를 직접 외치지 않고 일상 샤워에서 왕실 경험을 누리라는 감성 행동으로 끝낸다.
