장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:02.00,00:00.80,농부가 만드는 샤워젤,민트 농장 한가운데 선 농부가 오리지널소스 제품 두 개를 들고 정면을 봄,의외성 훅,농부와 샤워젤이라는 낯선 조합만으로 이유를 궁금하게 만든다.
2,00:02.00 ~ 00:03.50,00:02.60,처음엔 저도 뻥인 줄 알았거든요?,농부가 민트잎을 직접 수확하는 넓은 밭 풍경,의심 고백,광고를 믿지 않는 시청자의 반응을 화자가 먼저 인정한다.
3,00:03.50 ~ 00:04.00,00:03.70,근데 성분표를 보니까,밝은 욕실에서 손이 제품 라벨을 확인함,검증 전환,막연한 후기를 성분 확인이라는 행동으로 전환한다.
4,00:04.00 ~ 00:05.50,00:04.70,진짜더라고요,남성이 민트 티트리 제품을 양손으로 들고 라벨을 보여줌,사실 확인,짧은 결론으로 다음 수치 근거를 기다리게 한다.
5,00:05.50 ~ 00:06.50,00:05.80,민트가 무려,제품을 손에 든 장면을 유지하며 숫자가 나타날 공간을 비움,수치 예고,숫자를 바로 말하지 않고 한 박자 지연해 기대를 만든다.
6,00:06.50 ~ 00:07.50,00:06.80,"7,927장","제품 하단에 7,927장 숫자를 크게 확대",핵심 USP,기억하기 쉬운 구체 숫자를 화면 중심에 고정한다.
7,00:07.50 ~ 00:08.00,00:07.70,들어있어요!,제품을 든 손을 가까이 보여줌,USP 결론,한 문장씩 끊어 수치의 충격을 분리한다.
8,00:08.00 ~ 00:09.00,00:08.40,그것도 기계가 아니라,기계 생산 라인과 손수확 민트밭을 분할 화면으로 비교하고 기계 쪽에 X 표시,방식 반전,자동 생산일 것이라는 예상까지 한 번 더 뒤집는다.
9,00:09.00 ~ 00:09.50,00:09.20,농부가 직접,기계와 민트밭 비교 화면에서 농부의 손을 강조,주체 공개,첫 장면의 농부 훅을 실제 생산 방식으로 회수한다.
10,00:09.50 ~ 00:10.50,00:09.80,손으로 하나하나,농부의 손이 민트잎을 하나씩 따는 클로즈업,수작업 증거,말과 정확히 일치하는 손동작을 붙여 신뢰를 만든다.
11,00:10.50 ~ 00:11.50,00:10.80,수확한대요,손수확과 생산 라인을 함께 보여줌,과정 결론,짧은 대화체로 제조 설명을 어렵지 않게 마무리한다.
12,00:11.50 ~ 00:12.00,00:11.80,아무 밭에서 기르는,검은 배경의 지구본이 천천히 회전,산지 예고,장소가 특별하다는 문장을 지도 장면으로 연결한다.
13,00:12.00 ~ 00:12.50,00:12.20,민트 아니고,지구본에서 아시아 방향을 비춤,차별화 연결,일반 민트와 다르다는 반전 문장으로 산지 공개를 지연한다.
14,00:12.50 ~ 00:13.50,00:13.00,인도 민트 벨트,인도 북부 지도에서 우타르프라데시 일대를 청록색으로 표시,고유 산지,낯선 산지 명칭을 지도에 표시해 전문성과 기억점을 만든다.
15,00:13.50 ~ 00:15.00,00:14.00,라는 곳에 민트래요,인도 북부의 민트 벨트 표시 지도를 확대,산지 설명,전문 용어 뒤에 쉬운 대화체를 붙여 이해를 돕는다.
16,00:15.00 ~ 00:16.00,00:15.40,히말라야 바로 아래,히말라야 산맥과 계곡을 드론 시점으로 보여줌,환경 근거,지리적 위치를 웅장한 자연 화면으로 시각화한다.
17,00:16.00 ~ 00:16.50,00:16.20,지역이라는데,히말라야 계곡과 마을 풍경을 유지,환경 연결,짧은 연결 자막으로 다음 성분 차이를 준비한다.
18,00:16.50 ~ 00:17.50,00:16.80,여기 민트는,산맥 위에 민트 성분 비교 그래픽이 등장,비교 예고,산지의 가치가 실제 성분 차이로 이어짐을 예고한다.
19,00:17.50 ~ 00:18.50,00:18.00,멘톨 함량 자체가,스피어민트·페퍼민트·멘타 아르벤시스의 멘톨 함량 비교 그래픽,성분 비교,서로 다른 민트의 함량을 도식으로 비교해 추상적 차이를 보이게 한다.
20,00:18.50 ~ 00:19.00,00:18.70,달라요!,비교 그래픽에서 멘타 아르벤시스를 강조,차별화 결론,짧은 감탄형으로 비교 결과를 각인한다.
21,00:19.00 ~ 00:20.00,00:19.40,샤워하고 나면,욕실에서 제품을 수건 위로 짜는 사용 장면,사용 전환,원료 설명을 실제 샤워 경험으로 전환한다.
22,00:20.00 ~ 00:21.00,00:20.40,상쾌함이 시중에,샤워젤을 손에 짜는 장면을 가까이 보여줌,효익 예고,문장을 다음 컷까지 이어 비교 결론을 기다리게 한다.
23,00:21.00 ~ 00:21.50,00:21.20,다른 샤워젤하고는,샤워기 물이 피부에 떨어지는 초근접,비교 대상,사용감 비교를 피부와 물의 감각 화면으로 바꾼다.
24,00:21.50 ~ 00:22.50,00:21.90,비교가 안 돼요,피부 위로 강한 물줄기가 흐름,체감 결론,단정적인 대화체로 원료 설명의 소비자 효익을 확정한다.
25,00:22.50 ~ 00:23.00,00:22.70,딴 자리에서,민트밭 옆 소형 증류 설비와 작업자들을 보여줌,가공 거리,수확지와 가공지의 거리가 짧다는 근거를 현장으로 제시한다.
26,00:23.00 ~ 00:23.50,00:23.20,바로 증류까지,민트가 담긴 현장 증류기에서 수증기가 올라옴,가공 속도,‘바로’라는 시간성을 실제 설비 동작으로 증명한다.
27,00:23.50 ~ 00:25.00,00:24.00,끝낸다는데,농장 한가운데 증류 설비가 작동하고 작업자가 원물을 투입,공정 결론,산지와 공정을 한 프레임에 넣어 원료 스토리를 완성한다.
28,00:25.00 ~ 00:25.50,00:25.20,신선도를,열린 제품 용기 위로 민트잎과 물방울이 떠다니는 매크로,효익 예고,공정의 결과를 신선한 원료 이미지로 전환한다.
29,00:25.50 ~ 00:26.50,00:25.80,담은 거죠,제품 용기와 민트잎을 느린 동작으로 보여줌,원료 결론,정보 설명을 제품에 담긴 가치로 회수한다.
30,00:26.50 ~ 00:28.00,00:27.00,그것도 모자라서,런던 타워브리지 앞 하이록스 경기장의 대형 장면,추가 근거 예고,원산지 근거가 끝난 뒤 새로운 권위 증거를 예고해 이탈을 막는다.
31,00:28.00 ~ 00:28.50,00:28.20,운동하는 사람은,런던 야외 하이록스 경기에서 참가자들이 달림,타깃 호명,운동층을 직접 부르며 제품의 사용 맥락을 넓힌다.
32,00:28.50 ~ 00:29.00,00:28.70,모를 수 없는,하이록스 경기장과 참가자들을 내려다봄,인지도 예고,브랜드명을 바로 말하지 않고 권위를 먼저 키운다.
33,00:29.00 ~ 00:30.00,00:29.40,런던 하이록스의,타워브리지 앞 하이록스 경기 장면을 유지,행사 공개,국제 스포츠 행사 이름으로 브랜드 이미지를 강화한다.
34,00:30.00 ~ 00:31.00,00:30.40,공식 파트너래요,선수들의 악수와 행사 로고를 보여줌,권위 증거,공식 관계를 사회적 증거로 사용한다.
35,00:31.00 ~ 00:32.00,00:31.40,그래서 운동하고,헬스장에서 운동한 남성이 가방에 제품을 넣음,사용 상황,파트너십을 실제 운동 후 샤워 루틴으로 연결한다.
36,00:32.00 ~ 00:33.00,00:32.40,사람들 사이,헬스장 가방과 제품을 함께 보여줌,사용자 집단,제품이 특정 커뮤니티에 퍼졌다는 흐름을 만든다.
37,00:33.00 ~ 00:34.00,00:33.40,이미 국룰이더라고요,운동 후 남성이 제품을 챙기는 장면,유행 결론,전문적인 근거를 친숙한 유행어로 마무리한다.
38,00:34.00 ~ 00:35.00,00:34.40,저도 이거 알고 나서,집 욕실 선반 위에 제품을 내려놓음,개인 후기,외부 권위를 화자의 실제 행동으로 연결한다.
39,00:35.00 ~ 00:36.00,00:35.40,이것만 써요,욕실에서 제품을 손으로 잡아 정면 라벨을 보여줌,습관 확정,짧은 독점 사용 표현으로 추천을 자연스럽게 만든다.
