장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
1,00:00.00 ~ 00:01.50,00:00.75,엄마 전에 동창회 갔다가,사람들이 모인 카페·식당 전경,생활 사건 훅,가족에게 경험을 들려주는 말투로 시작한다.
2,00:01.50 ~ 00:02.50,00:02.00,의사랑 결혼한 친구를,같은 동창회 공간과 상단 강조 자막,인물 권위,의사 배우자 설정을 미리 심어 뒤의 비법에 신뢰를 더한다.
3,00:02.50 ~ 00:03.50,00:03.00,3년 만에 만났는데,노란 음료잔 건배 장면,시간 경과,오랜만의 만남으로 변화 관찰을 정당화한다.
4,00:03.50 ~ 00:04.50,00:04.00,통통했던 애가,날씬한 여성이 작은 잔을 마심,비포 예고,과거 모습을 언어로만 제시해 다음 결과를 기다리게 한다.
5,00:04.50 ~ 00:05.50,00:05.00,완전히 반쪽이 된거야,같은 여성이 한 번에 음료를 마시는 장면,반전 결과,강한 외형 변화 표현으로 제품 비밀을 궁금하게 한다.
6,00:05.50 ~ 00:06.50,00:06.00,"야, 너 대체 뭐 했어?",식당에서 친구에게 놀라 묻는 장면,변화 질문,시청자가 궁금한 원인을 화자가 대신 질문한다.
7,00:06.50 ~ 00:08.50,00:07.50,물었더니 갑자기 목소리를 낮추면서,친구가 가까이 다가와 비밀스럽게 말함,비밀 전개,가십을 듣는 듯한 톤으로 광고 거부감을 낮춘다.
8,00:08.50 ~ 00:10.00,00:09.25,의사 남편이 알려준 비법인데,식당에서 친구가 목소리를 낮춰 말함,권위 기반 비밀,전문가를 직접 출연시키지 않고 지인의 배우자로 신뢰를 빌린다.
9,00:10.00 ~ 00:11.50,00:10.75,나만 알려면서 이걸 보여주더라?,친구가 노란 원액을 텀블러에 붓는 장면,제품 발견,비밀 공유 상황에서 상품을 자연스럽게 공개한다.
10,00:11.50 ~ 00:12.50,00:12.00,이거 먹고 3일 만에,손에 든 작은 노란 음료 병,기간 훅,짧은 기간을 먼저 던져 결과를 기다리게 한다.
11,00:12.50 ~ 00:13.50,00:13.00,묵은 숙변 싹 배출해서,거울 앞 복부 비포·애프터 이미지,강한 체감 주장,타깃 문제를 시각적 변화와 결합한다.
12,00:13.50 ~ 00:14.50,00:14.00,5kg나 빠지고,같은 인물이 허리선을 보여줌,수치 결과,구체 수치로 변화를 극대화한다.
13,00:14.50 ~ 00:15.50,00:15.00,얼굴 붓기 싹 빠졌다고,여성이 얼굴 피부와 윤곽을 만짐,외형 결과,복부 외 얼굴 변화까지 확장한다.
14,00:15.50 ~ 00:16.50,00:16.00,자랑하는 거 있지?,윤곽을 보여주는 셀카형 장면,후기 결론,친구의 자랑이라는 구어체로 과장을 생활 대화처럼 만든다.
15,00:16.50 ~ 00:18.00,00:17.25,시중 깔라만시 99%는,마트 진열대의 노란 깔라만시 제품들,경쟁 비교,대다수 제품과의 차이를 예고한다.
16,00:18.00 ~ 00:19.50,00:18.75,열을 가해 영양이 파괴되는데,냄비에서 깔라만시 원물을 끓이는 장면,공정 문제,경쟁 제품의 가열 공정을 시각적으로 부정한다.
17,00:19.50 ~ 00:21.00,00:20.25,이건 국내 유일 비가열 생즙이라,제품 병을 야외에서 손에 들고 보여줌,제조 USP,비가열 생즙을 핵심 차별점으로 세운다.
18,00:21.00 ~ 00:22.50,00:21.75,레몬의 무려 30배나 되는,노란 원액을 얼음잔에 붓는 장면,수치 비교,익숙한 레몬을 영양 앵커로 사용한다.
19,00:22.50 ~ 00:23.50,00:23.00,비타민C가 그대로 살아 있어,여성이 컵을 들고 음료를 마심,영양 USP,보존 공정과 섭취 장면을 연결한다.
20,00:23.50 ~ 00:24.00,00:23.75,지방 연소와,운동복 차림 여성이 허리선을 보여줌,효익 예고,짧은 분절로 효익 나열의 속도를 높인다.
21,00:24.00 ~ 00:25.50,00:24.75,체지방 관리에 제격이고,헬스장에서 복부를 확인하는 장면,관리 효익,운동 맥락을 붙여 체중 관리 이미지를 강화한다.
22,00:25.50 ~ 00:26.00,00:25.75,체내 독소와,여성이 복부를 쓸어내림,추가 효익 예고,문장을 끊어 다음 표현을 강조한다.
23,00:26.00 ~ 00:27.50,00:26.75,노폐물까지 배출해 주니까,복부와 허리선이 드러난 UGC 장면,체감 효익,외형 장면으로 내부 배출 주장을 시각화한다.
24,00:27.50 ~ 00:29.00,00:28.25,똥배부터 피부 탄력까지,복부를 손으로 집었다 놓는 비포·애프터,효익 확장,복부와 피부를 한 문장에 묶어 관심 범위를 넓힌다.
25,00:29.00 ~ 00:30.00,00:29.50,달라진다는 거야,복부 클로즈업에서 허리선 변화,변화 결론,친구의 설명형 말투로 효익 파트를 마감한다.
26,00:30.00 ~ 00:31.00,00:30.50,갓 수확한 깔라만시를,바구니 가득한 생깔라만시 산지,원물 근거,효익 뒤에 산지·원물을 배치해 신뢰를 보강한다.
27,00:31.00 ~ 00:32.50,00:31.75,착즙 후 바로 급냉해 농축한,냉동실 속 파우치 원액,보존 공정,급냉 화면으로 신선도 보존을 설명한다.
28,00:32.50 ~ 00:33.50,00:33.00,진짜 생원액에,생과를 손으로 직접 짜는 장면,원액 증거,수분 많은 원물 화면으로 생즙 느낌을 만든다.
29,00:33.50 ~ 00:34.50,00:34.00,인공 첨가물 없이,세척 라인을 지나는 생깔라만시,불안 제거,무첨가 주장을 공정 화면과 연결한다.
30,00:34.50 ~ 00:36.00,00:35.25,100% 순수 착즙이라,현장에서 생과를 프레스로 착즙,순도 USP,제조 동작으로 100% 주장을 구체화한다.
31,00:36.00 ~ 00:37.00,00:36.50,영양 액기스 그 자체,병·파우치 제품을 한꺼번에 진열,가치 결론,앞선 공정 설명을 한 문장으로 압축한다.
32,00:37.00 ~ 00:38.50,00:37.75,물이나 탄산수에 섞으면,물잔에 노란 원액이 퍼지는 장면,사용법,구매 후 섭취 장벽을 낮춘다.
33,00:38.50 ~ 00:40.00,00:39.25,상큼한 디톡스 음료가 되고,잠옷 차림 여성이 주황색 음료를 마심,사용 결과,완성 음료와 상쾌한 표정을 결합한다.
34,00:40.00 ~ 00:41.50,00:40.75,살 빼고 싶을 때 챙겨마시면,치킨 옆 깔라만시 음료를 손으로 듦,사용 상황,식사와 함께 마시는 실제 상황을 제시한다.
35,00:41.50 ~ 00:42.50,00:42.00,붓기 관리에도 좋고,차 안에서 여성이 얼굴선을 만짐,추가 효익,얼굴 관리 상황으로 다시 회수한다.
36,00:42.50 ~ 00:43.00,00:42.75,너무 맛있어!,여성이 웃으며 맛을 평가,맛 장벽 해소,효능형 광고의 맛 우려를 짧게 제거한다.
37,00:43.00 ~ 00:45.00,00:44.00,"친구가 오늘만 1kg에 9,900원","상품 상세 페이지와 9,900원 가격을 크게 노출",가격 혜택,수량 단위와 가격을 CTA 직전에 고정한다.
38,00:45.00 ~ 00:46.00,00:45.50,파격 체험 특가하는,원액을 유리병에 붓는 제품 장면,혜택 성격,낮은 가격을 체험 기회로 정당화한다.
39,00:46.00 ~ 00:47.00,00:46.50,비밀 링크 알려줬는데,노란 음료와 여러 제품 병,한정 경로,친구만 아는 구매처라는 설정을 유지한다.
40,00:47.00 ~ 00:47.70,00:47.35,품절되기 전에,냉동고 서랍을 여는 장면,긴급성,재고 소진을 행동 이유로 제시한다.
41,00:47.70 ~ 00:48.78,00:48.24,왕창 쟁여놔야겠어!,냉동고 가득 파우치 제품이 정리돼 있음,비축 CTA,실제 비축 화면으로 대량 구매를 자연스럽게 만든다.
